latitude	longitude	dataset_name	ecosystem
1.2685	103.917	Ocean Sampling Day 2015	coastal
45.7009	13.71	Ocean Sampling Day 2015	coastal
71.13	-136.42	Arctic Ocean, Beaufort Sea, MALINA cruise - 2009	oceanic
71.13	-136.42	Arctic Ocean, Beaufort Sea, MALINA cruise - 2009	oceanic
71.13	-136.42	Arctic Ocean, Beaufort Sea, MALINA cruise - 2009	oceanic
71.13	-136.42	Arctic Ocean, Beaufort Sea, MALINA cruise - 2009	oceanic
70.4	-136.03	Arctic Ocean, Beaufort Sea, MALINA cruise - 2009	oceanic
70.4	-136.03	Arctic Ocean, Beaufort Sea, MALINA cruise - 2009	oceanic
70.4	-136.03	Arctic Ocean, Beaufort Sea, MALINA cruise - 2009	oceanic
70.4	-136.03	Arctic Ocean, Beaufort Sea, MALINA cruise - 2009	oceanic
70.45	-137.53	Arctic Ocean, Beaufort Sea, MALINA cruise - 2009	oceanic
70.45	-137.53	Arctic Ocean, Beaufort Sea, MALINA cruise - 2009	oceanic
70.45	-137.53	Arctic Ocean, Beaufort Sea, MALINA cruise - 2009	oceanic
70.45	-137.53	Arctic Ocean, Beaufort Sea, MALINA cruise - 2009	oceanic
70.68	-139.627	Arctic Ocean, Beaufort Sea, MALINA cruise - 2009	oceanic
70.68	-139.627	Arctic Ocean, Beaufort Sea, MALINA cruise - 2009	oceanic
70.68	-139.627	Arctic Ocean, Beaufort Sea, MALINA cruise - 2009	oceanic
70.68	-139.627	Arctic Ocean, Beaufort Sea, MALINA cruise - 2009	oceanic
69.798	-138.441	Arctic Ocean, Beaufort Sea, MALINA cruise - 2009	oceanic
69.798	-138.441	Arctic Ocean, Beaufort Sea, MALINA cruise - 2009	oceanic
69.798	-138.441	Arctic Ocean, Beaufort Sea, MALINA cruise - 2009	oceanic
69.798	-138.441	Arctic Ocean, Beaufort Sea, MALINA cruise - 2009	oceanic
70.33	-140.47	Arctic Ocean, Beaufort Sea, MALINA cruise - 2009	oceanic
70.33	-140.47	Arctic Ocean, Beaufort Sea, MALINA cruise - 2009	oceanic
70.33	-140.47	Arctic Ocean, Beaufort Sea, MALINA cruise - 2009	oceanic
70.33	-140.47	Arctic Ocean, Beaufort Sea, MALINA cruise - 2009	oceanic
-62.2038	-58.9361	Antarctic Feldes Bay 2013	coastal
-62.2042	-58.9267	Antarctic Feldes Bay 2013	coastal
-62.2066	-58.9178	Antarctic Feldes Bay 2013	coastal
-62.211	-58.907	Antarctic Feldes Bay 2013	coastal
-62.2164	-58.9017	Antarctic Feldes Bay 2013	coastal
-62.2113	-58.9537	Antarctic Feldes Bay 2013	coastal
-62.2161	-58.9498	Antarctic Feldes Bay 2013	coastal
-62.2204	-58.948	Antarctic Feldes Bay 2013	coastal
-62.2239	-58.9427	Antarctic Feldes Bay 2013	coastal
-62.228	-58.9325	Antarctic Feldes Bay 2013	coastal
83.9865	78.1033	Arctic Ocean Central - 2012	oceanic
82.6707	109.59	Arctic Ocean Central - 2012	oceanic
82.9975	130.13	Arctic Ocean Central - 2012	oceanic
88.3277	58.8635	Arctic Ocean Central - 2012	oceanic
83.9865	78.1033	Arctic Ocean Central - 2012	oceanic
82.6707	109.59	Arctic Ocean Central - 2012	oceanic
82.9975	130.13	Arctic Ocean Central - 2012	oceanic
88.3277	58.8635	Arctic Ocean Central - 2012	oceanic
78.8292	7.0223	Arctic Nansen Basin - 2012	oceanic
78.8288	4.0085	Arctic Nansen Basin - 2012	oceanic
78.7538	-12.7862	Arctic Nansen Basin - 2012	oceanic
78.8327	-4.5963	Arctic Nansen Basin - 2012	oceanic
78.824	-3.939	Arctic Nansen Basin - 2012	oceanic
78.6102	5.068	Arctic Nansen Basin - 2012	oceanic
79.0643	3.3328	Arctic Nansen Basin - 2012	oceanic
79.7397	4.5053	Arctic Nansen Basin - 2012	oceanic
81.4935	30.1722	Arctic Nansen Basin - 2012	oceanic
82.99	30.0538	Arctic Nansen Basin - 2012	oceanic
83.9227	60.6552	Arctic Nansen Basin - 2012	oceanic
83.5882	87.4518	Arctic Nansen Basin - 2012	oceanic
82.1657	126.97	Arctic Nansen Basin - 2012	oceanic
77.3968	118.196	Arctic Nansen Basin - 2012	oceanic
81.8758	130.878	Arctic Nansen Basin - 2012	oceanic
85.159	123.359	Arctic Nansen Basin - 2012	oceanic
87.9245	61.125	Arctic Nansen Basin - 2012	oceanic
50.151	-4.13	Ocean Sampling Day 2014	coastal
41.8398	-83.1899	Ocean Sampling Day 2014	coastal
35.35	25.29	Ocean Sampling Day 2014	coastal
35.35	25.29	Ocean Sampling Day 2014	coastal
